
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-10 16:06:42 /admin/productos/placard-andes ....................................................... ~ 0.46ms
  2026-04-10 16:06:43 /admin/productos/placard-andes/edit ................................................ ~ 502.32ms
  2026-04-10 16:06:43 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 0.19ms
  2026-04-10 16:06:48 /admin/productos ..................................................................... ~ 0.39ms
  2026-04-10 16:06:48 /assets/brand/product-rack.svg ....................................................... ~ 0.98ms
  2026-04-10 16:06:48 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 2.44ms
  2026-04-10 16:06:48 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 3.38ms
  2026-04-10 16:06:48 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 4.32ms
  2026-04-10 16:06:52 /admin/productos/rack-terra/edit ................................................... ~ 505.75ms
  2026-04-10 16:06:53 /assets/brand/product-rack.svg ....................................................... ~ 0.19ms
  2026-04-10 16:07:12 /admin/productos/rack-terra ........................................................ ~ 506.95ms
  2026-04-10 16:07:13 /admin/productos/rack-terra/edit ..................................................... ~ 0.19ms
  2026-04-10 16:07:13 /uploads/products/c6c5b658-079a-4372-b566-0ce47b7a79f3.png ........................... ~ 1.02ms
  2026-04-10 16:07:18 /admin/productos ................................................................... ~ 517.19ms
  2026-04-10 16:07:18 /uploads/products/c6c5b658-079a-4372-b566-0ce47b7a79f3.png ........................... ~ 0.24ms
  2026-04-10 16:07:18 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 1.17ms
  2026-04-10 16:07:18 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 2.11ms
  2026-04-10 16:07:18 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 3.18ms
  2026-04-10 16:07:40 /productos ......................................................................... ~ 501.19ms
  2026-04-10 16:07:41 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 0.22ms
  2026-04-10 16:07:41 /uploads/products/c6c5b658-079a-4372-b566-0ce47b7a79f3.png ........................... ~ 1.14ms
  2026-04-10 16:07:41 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 2.28ms
  2026-04-10 16:07:41 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 3.28ms
  2026-04-10 16:08:04 / .................................................................................. ~ 515.16ms
  2026-04-10 16:08:04 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 0.51ms
  2026-04-10 16:08:04 /uploads/products/c6c5b658-079a-4372-b566-0ce47b7a79f3.png ........................... ~ 1.51ms
  2026-04-10 16:08:04 /assets/brand/hero-workshop.svg ...................................................... ~ 2.58ms
  2026-04-10 16:08:04 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 3.89ms
  2026-04-10 16:08:04 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 4.81ms
  2026-04-10 16:08:10 /admin ............................................................................... ~ 0.42ms
  2026-04-10 16:08:12 /admin ............................................................................. ~ 504.58ms
  2026-04-10 16:08:21 /admin/presupuestos ................................................................ ~ 502.31ms
  2026-04-10 16:08:22 /admin/productos ..................................................................... ~ 0.49ms
  2026-04-10 16:08:23 /uploads/products/f14b4aa2-3e77-4b15-a18a-e9df91ff4bdd.png ........................... ~ 1.01ms
  2026-04-10 16:08:23 /uploads/products/11af25f2-9b78-4a50-bd6c-d4412a43d242.png ........................... ~ 2.10ms
  2026-04-10 16:08:23 /uploads/products/c6c5b658-079a-4372-b566-0ce47b7a79f3.png ........................... ~ 3.00ms
  2026-04-10 16:08:23 /uploads/products/89af9f03-0ab5-4bdb-86dd-5db69510a3c3.png ........................... ~ 3.96ms
  2026-04-10 16:08:23 /admin/categorias .................................................................. ~ 503.50ms
  2026-04-10 16:08:24 /assets/brand/hero-workshop.svg ...................................................... ~ 0.19ms
  2026-04-10 16:08:24 /admin ............................................................................. ~ 503.99ms
  2026-04-10 16:08:31 /admin ............................................................................... ~ 0.54ms
  2026-04-10 16:09:10 /admin ............................................................................... ~ 0.45ms
  2026-04-10 16:13:17 /productos/rack-terra .............................................................. ~ 502.12ms
  2026-04-10 16:13:17 /uploads/products/c6c5b658-079a-4372-b566-0ce47b7a79f3.png ........................... ~ 0.17ms
